Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Fitur_Terakhir
train,ikan01,07,insang,0.0,0.0,-0.156576,-0.031059,3.048964,-0.066633,0.0,-0.156825,-0.083845,0.0,-0.186101,-0.01684,-0.129309,-0.257333,0.0,0.0,-0.068788,-0.141796,-0.009044,0.0,-0.03259,-0.119156,-0.146613,-0.152419,-0.012248,-0.153359,0.0,-0.135365,-0.005006,0.377513,-0.113091,-0.012757,-0.007875,-0.083206,-0.040172,-0.002737,0.0,-0.217067,-0.100605,0.272976,-0.289281,0.0,0.0,-0.055418,-0.011636,-0.301715,-0.115498,-0.143339,-0.00657,-0.080477,0.0
train,ikan01,07,insang,0.0,0.0,-0.158644,-0.03123,3.074842,-0.067416,0.0,-0.158173,-0.081761,0.0,-0.189278,-0.017552,-0.129564,-0.256131,0.0,0.0,-0.068539,-0.142717,-0.009159,0.0,-0.03378,-0.12466,-0.146037,-0.151363,-0.011146,-0.152239,0.0,-0.136188,-0.005451,0.375736,-0.112382,-0.012623,-0.006405,-0.081984,-0.040522,-0.003487,0.0,-0.218334,-0.103433,0.274459,-0.28868,0.0,0.0,-0.057274,-0.011225,-0.301688,-0.111798,-0.143884,-0.006923,-0.075287,0.0
train,ikan01,07,insang,0.0,0.0,-0.153284,-0.030116,3.055993,-0.068855,0.0,-0.154942,-0.074606,0.0,-0.182779,-0.017726,-0.129009,-0.262684,0.0,0.0,-0.068491,-0.142352,-0.010839,0.0,-0.034468,-0.123087,-0.145862,-0.154722,-0.011541,-0.152784,0.0,-0.137364,-0.005822,0.371734,-0.111745,-0.013573,-0.009947,-0.077433,-0.03709,-0.004185,0.0,-0.217418,-0.10066,0.269133,-0.287131,0.0,0.0,-0.057913,-0.011457,-0.303041,-0.110742,-0.142679,-0.005008,-0.083248,0.0
train,ikan01,07,insang,0.0,0.0,-0.15793,-0.031364,3.075857,-0.06768,0.0,-0.158205,-0.082199,0.0,-0.189405,-0.017662,-0.129458,-0.255848,0.0,0.0,-0.068406,-0.142745,-0.009325,0.0,-0.034006,-0.125243,-0.145848,-0.151007,-0.011227,-0.152219,0.0,-0.137064,-0.005644,0.374224,-0.112803,-0.012836,-0.006499,-0.081879,-0.040707,-0.003579,0.0,-0.219118,-0.103277,0.274806,-0.288734,0.0,0.0,-0.057864,-0.011339,-0.301497,-0.11117,-0.144136,-0.006947,-0.073681,0.0
train,ikan01,07,insang,0.0,0.0,-0.147728,-0.037768,3.03593,-0.072134,0.0,-0.158699,-0.090131,0.0,-0.181271,-0.022839,-0.134395,-0.264248,0.0,0.0,-0.07373,-0.138898,-0.013681,-0.005408,-0.037045,-0.124783,-0.149977,-0.168235,-0.02245,-0.154559,0.0,-0.140218,-0.010559,0.349211,-0.118693,-0.029245,-0.010034,-0.083568,-0.043183,-0.003035,0.0,-0.212938,-0.102418,0.309535,-0.291058,0.0,0.0,-0.067836,-0.014273,-0.303201,-0.109193,-0.14074,-0.014448,-0.070091,0.0
train,ikan01,07,insang,0.0,0.0,-0.159161,-0.036978,3.052842,-0.072126,0.0,-0.15985,-0.086762,0.0,-0.188279,-0.023224,-0.13985,-0.261242,0.0,0.0,-0.069261,-0.143101,-0.014046,-0.001352,-0.035923,-0.1247,-0.148527,-0.165724,-0.020742,-0.153847,0.0,-0.15018,-0.00807,0.347141,-0.116173,-0.025885,-0.007544,-0.085129,-0.040304,-0.001644,0.0,-0.214583,-0.093753,0.300325,-0.292731,0.0,0.0,-0.069015,-0.017427,-0.302158,-0.113306,-0.142234,-0.011058,-0.064825,0.0
train,ikan01,09,insang,0.0,0.0,-0.156576,-0.031059,3.048964,-0.066633,0.0,-0.156825,-0.083845,0.0,-0.186101,-0.01684,-0.129309,-0.257333,0.0,0.0,-0.068788,-0.141796,-0.009044,0.0,-0.03259,-0.119156,-0.146613,-0.152419,-0.012248,-0.153359,0.0,-0.135365,-0.005006,0.377513,-0.113091,-0.012757,-0.007875,-0.083206,-0.040172,-0.002737,0.0,-0.217067,-0.100605,0.272976,-0.289281,0.0,0.0,-0.055418,-0.011636,-0.301715,-0.115498,-0.143339,-0.00657,-0.080477,0.0
train,ikan01,09,insang,0.0,0.0,-0.158644,-0.03123,3.074842,-0.067416,0.0,-0.158173,-0.081761,0.0,-0.189278,-0.017552,-0.129564,-0.256131,0.0,0.0,-0.068539,-0.142717,-0.009159,0.0,-0.03378,-0.12466,-0.146037,-0.151363,-0.011146,-0.152239,0.0,-0.136188,-0.005451,0.375736,-0.112382,-0.012623,-0.006405,-0.081984,-0.040522,-0.003487,0.0,-0.218334,-0.103433,0.274459,-0.28868,0.0,0.0,-0.057274,-0.011225,-0.301688,-0.111798,-0.143884,-0.006923,-0.075287,0.0
train,ikan01,09,insang,0.0,0.0,-0.153284,-0.030116,3.055993,-0.068855,0.0,-0.154942,-0.074606,0.0,-0.182779,-0.017726,-0.129009,-0.262684,0.0,0.0,-0.068491,-0.142352,-0.010839,0.0,-0.034468,-0.123087,-0.145862,-0.154722,-0.011541,-0.152784,0.0,-0.137364,-0.005822,0.371734,-0.111745,-0.013573,-0.009947,-0.077433,-0.03709,-0.004185,0.0,-0.217418,-0.10066,0.269133,-0.287131,0.0,0.0,-0.057913,-0.011457,-0.303041,-0.110742,-0.142679,-0.005008,-0.083248,0.0
train,ikan01,09,insang,0.0,0.0,-0.15793,-0.031364,3.075857,-0.06768,0.0,-0.158205,-0.082199,0.0,-0.189405,-0.017662,-0.129458,-0.255848,0.0,0.0,-0.068406,-0.142745,-0.009325,0.0,-0.034006,-0.125243,-0.145848,-0.151007,-0.011227,-0.152219,0.0,-0.137064,-0.005644,0.374224,-0.112803,-0.012836,-0.006499,-0.081879,-0.040707,-0.003579,0.0,-0.219118,-0.103277,0.274806,-0.288734,0.0,0.0,-0.057864,-0.011339,-0.301497,-0.11117,-0.144136,-0.006947,-0.073681,0.0
