Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F576
train,ikan01,01,insang,0.948183,0.041999,0.601936,0.642988,0.111208,-0.019745,-0.00582,0.715121,0.085038,0.385477,0.096045,0.425842,1.398565,0.253785,0.043373,0.005574,1.104601,0.237507,-0.010859,2.976129,2.089983,0.49287,-0.013911,0.491444,0.774338,0.346048,3.217533,0.143083,0.548463,-0.013194,0.657845,0.706294,-0.01952,0.701091,-0.045776,1.22616,0.150534,0.168346,1.10444,0.236472,-0.132566,1.877483,2.4425,0.886379,0.363229,0.021031,0.57202,0.346635,0.741295,-0.082381,-0.004763
train,ikan01,01,insang,0.941689,0.042019,0.778779,0.331344,0.005951,-0.064577,-0.025864,0.443395,0.084147,0.299392,-0.002369,0.390226,1.432021,0.726655,-0.005577,0.199522,1.141774,0.538346,-0.007525,3.455004,2.798428,0.785613,-0.026156,0.422376,0.897183,0.413086,3.204217,0.784815,0.296358,-0.002304,1.104415,0.893637,-0.008459,0.787642,-0.035608,0.924519,0.064655,0.090148,1.086774,0.336552,-0.14895,2.006824,1.296727,0.937605,0.472115,0.005988,0.401637,0.43791,0.495787,0.020678,-0.03642
train,ikan01,01,insang,0.691671,0.011924,0.674164,0.45362,0.014454,-0.073438,-0.025168,0.460305,0.017534,0.511128,-0.070305,0.702479,1.627452,0.640875,0.016745,0.184636,0.87758,0.328012,-0.014566,2.754253,2.882958,0.751807,-0.038348,0.570185,0.954664,0.553513,3.117805,0.529096,0.14333,0.049559,1.229495,0.700251,0.153922,1.122089,-0.000938,0.843785,0.221773,0.155017,1.133647,0.192978,-0.117865,2.106453,2.225957,0.737579,0.574375,-0.020513,0.789039,0.294179,0.800611,0.242234,-0.043243
train,ikan01,01,insang,0.985448,0.042771,0.806788,0.345396,0.013679,-0.043368,-0.023312,0.411523,0.054039,0.289176,-0.033774,0.425215,1.417423,0.670865,-0.027555,0.152661,1.15684,0.464895,-0.00551,3.425384,2.944143,0.824788,-0.035269,0.505014,0.842883,0.47411,3.238485,0.690189,0.236578,0.032345,1.153513,0.899212,0.059994,0.66739,-0.040622,0.818892,0.033939,0.079547,1.112756,0.346088,-0.14504,2.045274,1.321462,0.845689,0.437021,-0.022064,0.404798,0.395609,0.519461,0.037726,-0.025723
train,ikan01,01,insang,0.640641,0.356126,0.282174,0.534713,0.755273,-0.026827,-0.026739,0.474832,-0.000546,0.168789,-0.015236,0.662674,1.356562,0.255759,-0.057354,0.129454,0.823889,0.428822,0.067329,3.927882,1.510224,1.133363,0.007425,0.169107,0.992388,0.204238,1.338919,0.700881,0.121432,-0.141574,0.653676,1.024477,0.012935,0.407222,0.021071,0.644426,0.079596,0.135927,0.588658,1.681188,-0.150596,1.222889,1.241128,1.022246,0.437045,-0.025457,0.386641,0.217495,0.755393,-0.057422,0.255205
train,ikan01,01,insang,0.966536,0.02,0.223438,0.72948,0.910345,0.190427,-0.025332,0.272693,-0.024099,0.165404,-0.001081,0.370558,1.277609,0.119097,-0.092342,0.073679,1.357508,0.38564,0.030919,4.14146,3.188057,1.447881,-0.041358,0.198818,1.114275,0.989799,2.98818,1.161656,0.013102,-0.014651,0.377777,1.398342,0.280651,0.897295,-0.02628,1.016914,0.021607,0.519959,0.350968,1.950053,-0.149007,1.705224,0.950157,1.092161,0.52136,-0.020834,0.619597,0.61937,0.777834,-0.133321,0.344208
train,ikan01,17,insang,0.390088,-0.01048,0.149064,0.383045,-0.070293,-0.02001,0.023055,1.175248,-0.02265,0.954261,0.356084,0.878014,1.594408,0.047083,-0.02207,-0.097321,0.242705,0.099845,0.070261,2.149958,0.912752,0.005378,0.372255,0.54016,0.830599,0.355842,2.314916,0.430709,0.203938,0.131419,0.477996,0.984798,0.739711,0.689834,0.058175,1.940817,-0.006866,0.060512,0.735652,0.089349,-0.109395,2.007543,2.403905,0.308072,0.158211,-0.118425,0.845577,0.05939,1.210796,-0.07877,0.005116
train,ikan01,17,insang,0.262317,0.085393,0.277579,0.598164,-0.053836,-0.044817,0.046406,1.360885,-0.023577,0.835899,0.053454,0.929703,2.417578,0.294894,-0.021545,0.085563,0.443782,0.254152,0.477527,4.026539,1.442253,0.430056,0.486858,0.645076,1.423432,0.260251,3.05337,1.080879,-0.009294,0.242311,0.815375,1.211553,0.513446,1.114126,0.214616,1.599921,0.0,0.037161,0.917242,0.170337,-0.176697,1.815859,2.243965,0.537559,0.065773,-0.103196,0.961104,0.181132,0.865325,-0.123664,0.157207
train,ikan01,17,insang,0.18214,0.143436,0.011532,0.354414,-0.104157,-0.042223,0.024714,1.25723,-0.011218,0.7224,0.015221,0.884457,2.397462,0.411518,-0.020273,-0.048388,0.62957,0.308854,0.132863,3.652979,1.438784,0.180327,0.261754,0.333186,1.1666,0.311232,2.879922,0.455455,0.093858,0.180984,0.735956,0.963615,0.504737,1.309074,0.262667,1.653306,0.0,0.058706,0.504968,0.141494,-0.162385,1.572294,2.283399,0.59231,0.254955,-0.105851,0.905218,0.260441,0.754114,-0.106862,0.203131
train,ikan01,17,insang,0.264328,0.003926,0.264501,0.467878,-0.093157,-0.028269,0.05839,1.433397,-0.024259,0.79138,0.06716,0.960564,2.630873,0.346113,-0.021467,0.063074,0.487013,0.213368,0.346245,3.918466,1.551958,0.355766,0.441388,0.709843,1.33507,0.419769,3.044354,0.771999,0.007177,0.193151,0.766667,1.169295,0.62642,1.247947,0.255558,1.367918,0.0,0.053044,0.867421,0.172032,-0.1838,1.80744,2.559636,0.555095,0.146751,-0.118287,0.976504,0.241436,1.041774,-0.113495,0.145436
